,Linear Regression,Ridge Regression,LASSO Regression,Quadratic Regression,Random Forest Regression,Gradient Boosting Regression
"Hoyt St (2,3)",0.6947048613501015,0.6948326237277622,0.6730662434591159,0.7605134037971019,0.6793338903839745,0.6973674105352732
"Hoyt-Schermerhorn Sts (A,C,G)",0.6907080971346056,0.6909171900113611,0.6770179004837903,0.7531873394019358,0.6760587332292597,0.6832277533287807
Hunters Point Av (7),0.6139385427222906,0.6139691332989117,0.5996600199114146,0.7956316719580764,0.7535900409684583,0.7484655645372288
Hunts Point Av (6),0.6775901275227635,0.6777690350567709,0.6606594468292635,0.7933935351436853,0.7218386673391959,0.7309304428287989
"Intervale Av (2,5)",0.6649741436292309,0.6650743315659977,0.5506757573489067,0.7693523999545091,0.6828520915505993,0.6821618414050883
Inwood-207 St (A),0.6140306670295037,0.6141169019579176,0.5922009241142772,0.7396653777130833,0.6951261150013401,0.6614356377567554
"Jackson Av (2,5)",0.655673076805859,0.6554671827676932,0.6021919577967745,0.7762316479914151,0.7060977073244414,0.7045177902102528
"Jamaica Center-Parsons-Archer (E,J,Z)",0.656518892247933,0.6566313864490021,0.6535496279213218,0.7937873148776685,0.7213420544559294,0.7393850531278905
Jamaica-179 St (F),0.656035430091837,0.6562483880723342,0.6532520706515679,0.8321643964606762,0.7879368906937593,0.7917366140132072
Jamaica-Van Wyck (E),0.657707376024756,0.6576964067943476,0.5971710710138365,0.7481494783421279,0.6577435776515791,0.6774162539767911
"Jay St-MetroTech (A,C,F,R)",0.6819161373124618,0.6820827647804488,0.6802767350655179,0.7990075947069599,0.7166989187142938,0.7331169148245398
Jefferson St (L),0.44862300403819055,0.4487424922813591,0.41603394878222233,0.6301511597520695,0.5885136989488744,0.5381732755756936
Junction Blvd (7),0.6621701019117794,0.6623089033787612,0.6598262252843412,0.7814574244499566,0.7147845315747146,0.7269591476897076
Junius St (3),0.6471716756284849,0.6468373859117085,0.49769468232287895,0.7709375554579004,0.6951414803892184,0.6914963543883175
"Kew Gardens-Union Turnpike (E,F)",0.6572922152405409,0.6575016660607429,0.654699769212934,0.7948687540395085,0.7244662853814021,0.7362539376039456
"Kings Hwy (B,Q)",0.6630780672804154,0.6631961554192318,0.6573443024340825,0.7959877328642126,0.7365998640200293,0.7188112945452277
Kings Hwy (F),0.6597769880622155,0.6598502666358061,0.6013414781098927,0.7916393936282987,0.7237885310902594,0.7319858710408755
Kings Hwy (N),0.704162818850175,0.7041675717964528,0.6787157772387267,0.813250173584102,0.7453075549373886,0.7710150037077567
Kingsbridge Rd (4),0.6753397063301687,0.6753526045948908,0.6540671522838701,0.7572760263851724,0.6779279406061544,0.6922904998145356
"Kingsbridge Rd (B,D)",0.6712235526047625,0.6713428238026327,0.6464697368157807,0.8193321112979718,0.7571146049054212,0.7663825380071917
Kingston Av (3),0.6262510127521717,0.626276333011416,0.575081676097345,0.7477988567988063,0.6723185995934784,0.6677065191634193
Kingston-Throop Avs (C),0.6219000083017845,0.6217981666805383,0.5871385849261015,0.7556494667152499,0.7021909768115964,0.6678660716164102
Knickerbocker Av (M),0.6146502552127189,0.6149465650771362,0.5531385132374513,0.7584176612733337,0.7004285827588672,0.6773026064302754
Kosciuszko St (J),0.6019719387953855,0.6019701962526307,0.5546795730842606,0.7400629590754528,0.6812389267131174,0.6631534256206028
Lafayette Av (C),0.6134103663256485,0.6132354671687771,0.5590955970123244,0.6905648067486476,0.6007398882510973,0.6107542063829712
"Lexington Av (N,R,W)/59 St (4,5,6)",0.697287360975587,0.6975562233031074,0.6968633734690288,0.7973490432859482,0.7138031292963294,0.7501126857496113
"Lexington Av-53 St (E,M)/51 St (6)",0.6592473447549482,0.6595281762689404,0.659015690126537,0.8296412629902625,0.752261547006793,0.7745315332733478
"Lexington Av-63 St (F,Q)",0.7190759819542603,0.7192607729322298,0.7128609142428254,0.8075379110360499,0.7255178866299368,0.7547686353565044
